A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
0,0,0,0,0,0
17.123333,0,0,14.600726,0,14.80539
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.871425,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.015937,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.659884,15.92126,15.762745,0,0,0
0,12.339015,0,0,0,0
13.903694,13.718105,13.954105,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.223624,0,0,0,0,0
14.670158,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-8.790857,-8.790857,-8.790857,-8.790857,-8.790857,-8.790857
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.167889,15.1528,15.056003,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.129766,13.952468,13.414157,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.00615,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.75994,0,14.74373,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.992761,13.107054,15.259413,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.960002,12.628446,0,0,0,0
14.8361,14.417655,15.0652895,0,12.954197,0
14.531198,0,14.540855,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-7.7173796,-7.7173796,-7.7173796,-7.7173796,-7.7173796,-7.7173796
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.446825,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14.725579,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,15.685953,0,0,14.359269,0
0,0,0,0,0,0
0,0,0,0,0,0
15.080152,15.007464,0,0,0,0
0,0,0,0,0,0
15.057696,15.064574,15.206213,13.179286,12.861475,12.931846
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,15.40158,0,0,0
0,0,12.356453,0,0,0
15.650098,15.709488,15.726698,0,13.565697,0
12.072803,12.068778,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.08622,13.88665,13.927315,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.295984,15.137591,15.342908,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-8.183169,-8.183169,-8.183169,-8.183169,-8.183169,-8.183169
0,12.646335,0,13.242131,13.24362,12.967226
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.115044,0,0,0,0,0
0,14.776073,14.666224,0,0,0
15.089781,15.111094,14.990326,0,0,0
0,0,0,0,0,0
-8.193369,-8.193369,-8.193369,-8.193369,-8.193369,-8.193369
0,0,0,0,0,0
0,0,12.764664,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14.176408,14.878913,0,0,0
0,0,0,0,0,0
12.428884,0,0,0,0,0
12.999295,13.252518,13.125575,0,0,0
16.152958,16.076836,15.625367,0,0,0
0,0,0,12.779103,0,0
0,0,0,0,0,0
15.835187,0,16.188898,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.929812,0,0,0,0,0
